trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
669,False,"{'a': 0.5, 'e': 0.5120491189128954}",20,0,-1.3706871134386494,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
670,False,"{'a': 0.5, 'e': 0.5115370697939825}",20,0,-55.77381230241712,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
671,False,"{'a': 0.5, 'e': 0.5110255327241885}",20,0,-9.86728193692353,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
672,False,"{'a': 0.5, 'e': 0.5105145071914643}",20,10,-15.826099473618843,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
673,False,"{'a': 0.5, 'e': 0.5100039926842729}",30,0,-89.82376847636185,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
674,False,"{'a': 0.5, 'e': 0.5094939886915886}",25,2,-44.260151704992026,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 0}",1
675,False,"{'a': 0.5, 'e': 0.508984494702897}",20,6,-50.31999564623224,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 0}",1
676,False,"{'a': 0.5, 'e': 0.508475510208194}",20,0,-31.2619266206424,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
677,False,"{'a': 0.5, 'e': 0.5079670346979859}",20,2,-51.60818410890659,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
678,False,"{'a': 0.5, 'e': 0.5074590676632879}",30,0,-11.873768685435302,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
679,False,"{'a': 0.5, 'e': 0.5069516085956246}",20,7,-24.76624550776074,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
680,False,"{'a': 0.5, 'e': 0.506444656987029}",20,0,-95.71884181630433,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
681,False,"{'a': 0.5, 'e': 0.505938212330042}",25,0,-15.44718116223786,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
682,False,"{'a': 0.5, 'e': 0.505432274117712}",20,6,-8.393215614350833,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
683,False,"{'a': 0.5, 'e': 0.5049268418435943}",20,0,-48.26231219893584,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
684,False,"{'a': 0.5, 'e': 0.5044219150017507}",25,14,-82.21467278949125,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
685,False,"{'a': 0.5, 'e': 0.5039174930867489}",30,0,-118.14054960057517,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
686,False,"{'a': 0.5, 'e': 0.5034135755936622}",25,8,-21.114694115953103,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
687,False,"{'a': 0.5, 'e': 0.5029101620180685}",20,0,-20.08756208806904,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
688,False,"{'a': 0.5, 'e': 0.5024072518560504}",20,0,-44.65686871366329,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
689,False,"{'a': 0.5, 'e': 0.5019048446041944}",25,15,5.931115020723114,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
690,False,"{'a': 0.5, 'e': 0.5014029397595902}",25,12,14.455462224192914,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
691,False,"{'a': 0.5, 'e': 0.5009015368198305}",30,18,-0.5252235331511841,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
692,False,"{'a': 0.5, 'e': 0.5004006352830107}",25,12,-33.35545877299658,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
693,False,"{'a': 0.5, 'e': 0.4999002346477277}",20,0,-74.97437467940915,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
694,False,"{'a': 0.5, 'e': 0.49940033441307996}",30,16,-15.262122585526665,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
695,False,"{'a': 0.5, 'e': 0.49890093407866687}",35,23,-15.704458680948447,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
696,False,"{'a': 0.5, 'e': 0.4984020331445882}",25,0,-37.594157233240864,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
697,False,"{'a': 0.5, 'e': 0.4979036311114436}",25,8,-21.21707168587339,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
698,False,"{'a': 0.5, 'e': 0.4974057274803321}",25,20,9.004017725194737,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.5, 'e': 0.49690832175285177}",20,9,-26.219373093501794,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
700,False,"{'a': 0.5, 'e': 0.4964114134310989}",20,0,-46.00842167096232,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
701,False,"{'a': 0.5, 'e': 0.4959150020176678}",20,0,19.846238884868093,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
702,False,"{'a': 0.5, 'e': 0.49541908701565013}",25,15,-4.729047246450065,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
703,False,"{'a': 0.5, 'e': 0.49492366792863446}",20,12,8.357944176663175,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.5, 'e': 0.4944287442607058}",30,10,3.6356750421903046,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
